X,Y,PROVINCIA,NEW_NCART,SIMBC,TIPO_UC,LIMIT_PPAL,LIMIT_SECU,LIMIT_TERC,IND_PROD,PORC_SUE1,POSI_SUE1,ORDEN_SUE1,GGRUP_SUE1,SGRUP_SUE1,TEXT_SUPS1,TEXT_BS1,DRENAJE_S1,PROFUND_S1,ALCALIN_S1,PORC_PENS1,ERHIDR_S1,EREOLI_S1,ROCOS_S1,ANEGAB_S1,PORC_SUE2,POSI_SUE2,ORDEN_SUE2,GGRUP_SUE2,SGRUP_SUE2,PORC_SUE3,POSI_SUE3,ORDEN_SUE3,GGRUP_SUE3,SGRUP_SUE3,OGC_FID,AREA,PERIMETER
-62.1397231954839,-37.9104147331673,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,2761.00000,0.003669,0.423325
-61.921910007372,-37.9186215911842,BUENOS AIRES,1161.00000,MJtc-6,Asociacion,Prof.Efectiva somera,Pedregosidad,-,36.00000,50.00000,Pendiente,Molisoles,Hapludoles,Hapludoles tipico,Franca,Franca,Bien drenado,100.00000,No sodico,0.00000,-,Moderada,-,-,30.00000,Planicie arenosa,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles litico,2766.00000,0.004245,0.435664
-62.1865913165172,-37.9758314271948,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,2781.00000,0.002124,0.259083
-62.1143332246521,-37.9659826682561,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,2789.00000,0.000224,0.060234
-61.6429879466142,-37.9794388960342,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,2792.00000,0.000482,0.104656
-62.1462099076843,-38.037312158472,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,2796.00000,0.008839,0.940091
-62.1362930592005,-38.0040522965251,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,2798.00000,0.001474,0.183982
-61.5175267668777,-38.0552544573222,BUENOS AIRES,1154.00000,MJli-4,Asociacion,Prof.Efectiva somera,Rocosidad,-,5.00000,60.00000,Afloramiento rocoso,Roca,Rocas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,40.00000,Pendiente,Molisoles,Hapludoles,Hapludoles litico,0.00000,,,,,2804.00000,0.001498,0.237639
-62.3690904702294,-38.0199452031762,BUENOS AIRES,50015.00000,L,Agua,No apto agrricultura,No apto agrricultura,No apto agrricultura,0.00000,100.00000,Lago/laguna,Lagunas,Lagunas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,0.00000,,,,,0.00000,,,,,2806.00000,0.000236,0.070386
-61.9313744598394,-38.0720886223441,BUENOS AIRES,1088.00000,MItc-22,Asociacion,Suscep eros hidrica,-,-,52.00000,50.00000,Pendiente,Molisoles,Hapludoles,Hapludoles tipico,Franca,Franca,Bien drenado,100.00000,No sodico,0.00000,-,Moderada,-,-,50.00000,Valle,Molisoles,Argiudoles,Argiudoles tipico,0.00000,,,,,2822.00000,0.001192,0.234875
